YEAR,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2000,SUBCOMPACT,3.8,6,X,12.2,7.1,9.9,29,228
2000,SUBCOMPACT,5.7,8,Z,13.8,9.1,11.7,24,269
2000,SUBCOMPACT,5.7,8,Z,13.1,8.1,10.8,26,248
2000,SUBCOMPACT,2.2,4,X,10.2,6.9,8.7,32,200
2000,SUBCOMPACT,2.2,4,X,10.8,6.5,8.9,32,205
2000,SUBCOMPACT,2.4,4,X,11,7.4,9.4,30,216
2000,SUBCOMPACT,2.4,4,X,10.7,6.5,8.8,32,202
2000,SUBCOMPACT,2.2,4,X,10.4,7.5,9.1,31,209
2000,SUBCOMPACT,5.7,8,Z,13.9,9.1,11.7,24,269
2000,SUBCOMPACT,5.7,8,Z,12.8,7.9,10.6,27,244
2000,VAN - CARGO,4.3,6,X,16,11.9,14.2,20,327
2000,VAN - CARGO,5,8,X,16.4,11.8,14.3,20,329
2000,VAN - CARGO,5.7,8,X,17.4,12.7,15.3,18,352
2000,VAN - PASSENGER,4.3,6,X,16.5,12.2,14.6,19,336
2000,VAN - PASSENGER,5,8,X,16.7,12.3,14.7,19,338
2000,VAN - PASSENGER,5.7,8,X,18.7,13.6,16.4,17,377
2000,FULL-SIZE,3.4,6,X,12.1,7.2,9.9,29,228
2000,FULL-SIZE,3.8,6,X,12,7.4,9.9,29,228
2000,PICKUP TRUCK - STANDARD,4.3,6,X,15.3,11.1,13.4,21,308
2000,PICKUP TRUCK - STANDARD,4.3,6,X,16.9,12.4,14.9,19,343
2000,PICKUP TRUCK - STANDARD,4.8,8,X,15.6,12,14,20,322
2000,PICKUP TRUCK - STANDARD,4.8,8,X,18.2,12.5,15.6,18,359
2000,PICKUP TRUCK - STANDARD,5.3,8,X,16.2,12.3,14.4,20,331
2000,SUV,5.7,8,X,19.1,13.6,16.6,17,382
2000,MID-SIZE,3.4,6,X,12.1,7.2,9.9,29,228
2000,MID-SIZE,3.8,6,X,12,7.4,9.9,29,228
2000,MID-SIZE,3.1,6,X,11.6,7.3,9.7,29,223
2000,SUBCOMPACT,1,3,X,6,4.5,5.3,53,122
2000,SUBCOMPACT,1.3,4,X,7.8,6.2,7.1,40,163
2000,SUBCOMPACT,1.3,4,X,6.4,4.9,5.7,50,131
2000,SUV,5.3,8,X,17.1,12.5,15,19,345
2000,SUV,4.8,8,X,16.9,12.7,15,19,345
2000,SUV,5.3,8,X,17.1,12.5,15,19,345
2000,SUV,4.8,8,X,16.9,12.7,15,19,345
2000,SUV,5.3,8,X,17.1,12.6,15.1,19,347
2000,PICKUP TRUCK - SMALL,2.2,4,X,12.3,8.4,10.5,27,242
2000,PICKUP TRUCK - SMALL,2.2,4,X,10.8,7.4,9.3,30,214
2000,PICKUP TRUCK - SMALL,4.3,6,X,13.8,9.7,12,24,276
2000,PICKUP TRUCK - SMALL,4.3,6,X,14.4,9.7,12.3,23,283
2000,PICKUP TRUCK - STANDARD,4.3,6,X,15.1,10.9,13.2,21,304
2000,PICKUP TRUCK - STANDARD,4.3,6,X,14.6,10.1,12.6,22,290
2000,SUV,2,4,X,10.3,8.3,9.4,30,216
2000,SUV,2,4,X,10.5,8.5,9.6,29,221
2000,SUV,1.6,4,X,9.2,7.6,8.5,33,196
2000,SUV,2,4,X,10.3,8.4,9.4,30,216
2000,SUV,2,4,X,10.5,8.5,9.6,29,221
2000,MINIVAN,3.4,6,X,12.5,8.4,10.7,26,246
2000,FULL-SIZE,3.5,6,X,12.8,8.2,10.7,26,246
2000,MID-SIZE,2.4,4,X,11.9,7.8,10.1,28,232
2000,MID-SIZE,2.5,6,X,12.1,7.9,10.2,28,235
2000,FULL-SIZE,2.7,6,X,11.7,7.5,9.8,29,225
2000,FULL-SIZE,3.2,6,X,12.6,7.9,10.5,27,242
2000,FULL-SIZE,2.7,6,X,11.7,7.5,9.8,29,225
2000,FULL-SIZE,2.7,6,X,11.7,7.4,9.8,29,225
2000,FULL-SIZE,3.2,6,X,12.6,7.8,10.4,27,239
2000,FULL-SIZE,3.5,6,X,12.8,8.2,10.7,26,246
2000,FULL-SIZE,3.5,6,X,13.1,8.3,10.9,26,251
2000,COMPACT,2,4,X,9.5,7,8.4,34,193
2000,COMPACT,2,4,X,8.3,6.2,7.4,38,170
2000,SUBCOMPACT,2.4,4,X,11.9,8.6,10.4,27,239
2000,SUBCOMPACT,2.4,4,X,11.7,8.3,10.2,28,235
2000,COMPACT,2.5,6,X,12,7.8,10.1,28,232
2000,COMPACT,2.5,6,X,12.1,7.9,10.2,28,235
2000,COMPACT,2.5,6,X,13.1,8.4,11,26,253
2000,MINIVAN,3.8,6,X,13.6,9.1,11.6,24,267
2000,MINIVAN,3.8,6,X,14.5,9.5,12.2,23,281
2000,SUBCOMPACT,1.5,4,X,9.9,5.9,8.1,35,186
2000,SUBCOMPACT,1.5,4,X,9,5.9,7.6,37,175
2000,SUBCOMPACT,1.6,4,X,10.2,6.4,8.5,33,196
2000,SUBCOMPACT,1.6,4,X,9.1,6,7.7,37,177
2000,COMPACT,2.2,4,X,11.9,7.8,10,28,230
2000,COMPACT,2.2,4,X,11.6,7.4,9.7,29,223
2000,COMPACT,2,4,X,10.6,7.1,9,31,207
2000,COMPACT,2,4,X,10.5,6.9,8.8,32,202
2000,STATION WAGON - SMALL,2,4,X,10.6,7.1,9,31,207
2000,STATION WAGON - SMALL,2,4,X,10.5,6.9,8.9,32,205
2000,MINIVAN,3,6,X,13,8.6,11,26,253
2000,MINIVAN,3.3,6,X,12.9,8.6,11,26,253
2000,MINIVAN,3.8,6,X,13.6,9.1,11.6,24,267
2000,MINIVAN,3.3,6,X,12.9,8.6,11,26,253
2000,MINIVAN,3.3,6,E,18.7,12.1,15.7,18,251
2000,PICKUP TRUCK - STANDARD,3.9,6,X,14.6,10.2,12.6,22,290
2000,PICKUP TRUCK - STANDARD,3.9,6,X,15.1,9.6,12.6,22,290
2000,PICKUP TRUCK - STANDARD,4.7,8,X,15.8,11,13.6,21,313
2000,PICKUP TRUCK - STANDARD,4.7,8,X,16.5,10.8,13.9,20,320
2000,PICKUP TRUCK - STANDARD,5.9,8,X,18.9,13.2,16.3,17,375
2000,PICKUP TRUCK - STANDARD,3.9,6,X,16.3,12.1,14.4,20,331
2000,PICKUP TRUCK - STANDARD,3.9,6,X,17.3,11.8,14.8,19,340
2000,PICKUP TRUCK - STANDARD,4.7,8,X,16.5,11.4,14.2,20,327
2000,PICKUP TRUCK - STANDARD,4.7,8,X,17,11.8,14.7,19,338
2000,PICKUP TRUCK - STANDARD,5.9,8,X,20.3,13.4,17.2,16,396
2000,SUV,4.7,8,X,17.4,12,15,19,345
2000,SUV,5.9,8,X,20.3,13.4,17.2,16,396
2000,SUV,5.9,8,Z,20.3,13.4,17.2,16,396
2000,MINIVAN,3,6,X,13,8.6,11,26,253
2000,MINIVAN,3.3,6,X,12.9,8.6,11,26,253
2000,MINIVAN,3.8,6,X,13.6,9.1,11.6,24,267
2000,MINIVAN,3.8,6,X,13.9,9.2,11.8,24,271
2000,MINIVAN,3.8,6,X,14.5,9.5,12.2,23,281
2000,MINIVAN,3.8,6,X,14.7,9.6,12.4,23,285
2000,MINIVAN,3.3,6,X,12.9,8.6,11,26,253
2000,MINIVAN,3.3,6,E,18.7,12.1,15.7,18,251
2000,PICKUP TRUCK - STANDARD,3.9,6,X,15.6,10.7,13.4,21,308
2000,PICKUP TRUCK - STANDARD,3.9,6,X,15.7,10.3,13.3,21,306
2000,PICKUP TRUCK - STANDARD,5.2,8,X,18.1,11.7,15.2,19,350
2000,PICKUP TRUCK - STANDARD,5.2,8,X,18.3,11.5,15.2,19,350
2000,PICKUP TRUCK - STANDARD,5.9,8,X,19.5,12,16.1,18,370
2000,PICKUP TRUCK - STANDARD,5.2,8,X,19.6,13.3,16.8,17,386
2000,PICKUP TRUCK - STANDARD,5.2,8,X,20.1,13,16.9,17,389
2000,PICKUP TRUCK - STANDARD,5.9,8,X,19.6,12.6,16.4,17,377
2000,VAN - CARGO,3.9,6,X,15.8,12.9,14.5,19,334
2000,VAN - CARGO,5.2,8,X,17.7,11.5,14.9,19,343
2000,VAN - CARGO,5.9,8,X,18.9,13.2,16.3,17,375
2000,VAN - PASSENGER,3.9,6,X,16.5,13.3,15.1,19,347
2000,VAN - PASSENGER,5.2,8,X,18.1,11.6,15.2,19,350
2000,VAN - CARGO,5.2,8,X,18.1,11.6,15.2,19,350
2000,VAN - CARGO,5.9,8,X,19.5,11.9,16.1,18,370
2000,VAN - CARGO,5.2,8,N,18.9,13.7,16.6,17,314
2000,VAN - PASSENGER,5.2,8,X,19.8,14,17.2,16,396
2000,VAN - PASSENGER,5.9,8,X,19.8,12.1,16.3,17,375
2000,SUBCOMPACT,8,10,Z,19.4,10.2,15.3,18,352
2000,SUBCOMPACT,8,10,Z,19.4,10.2,15.3,18,352
2000,TWO-SEATER,3.6,8,Z,22.4,13.5,18.4,15,423
2000,TWO-SEATER,3.6,8,Z,22,13.7,18.3,15,421
2000,SUBCOMPACT,5.5,12,Z,24.4,14.5,19.9,14,458
2000,SUBCOMPACT,5.5,12,Z,24,13.4,19.2,15,442
2000,SUBCOMPACT,5.5,12,Z,24.4,14.5,19.9,14,458
2000,SUBCOMPACT,5.5,12,Z,24,13.4,19.2,15,442
2000,SUBCOMPACT,5.5,12,Z,27.7,16.6,22.7,12,522
2000,COMPACT,2,4,X,9.7,6.4,8.2,34,189
2000,COMPACT,2.5,6,X,11.6,7.6,9.8,29,225
2000,COMPACT,2.5,6,X,11.8,7.5,9.9,29,228
2000,FULL-SIZE,4.6,8,X,13.5,8.8,11.4,25,262
2000,VAN - PASSENGER,4.2,6,X,17.3,12.4,15.1,19,347
2000,VAN - PASSENGER,4.6,8,X,17,11.9,14.7,19,338
2000,VAN - PASSENGER,5.4,8,X,18,12.5,15.5,18,356
2000,VAN - CARGO,4.2,6,X,17.2,12.1,14.9,19,343
2000,VAN - CARGO,4.6,8,X,16,11.1,13.8,20,317
2000,VAN - CARGO,5.4,8,X,16.1,11.3,13.9,20,320
2000,VAN - CARGO,4.2,6,X,17.3,12.3,15,19,345
